athlete,athleteLabel,sportLabel,countryLabel
http://www.wikidata.org/entity/Q365626,Ben Hogan,golf,United States
http://www.wikidata.org/entity/Q381667,Pádraig Harrington,golf,Ireland
http://www.wikidata.org/entity/Q433007,Anna Rawson,golf,Australia
http://www.wikidata.org/entity/Q432741,José María Olazábal,golf,Spain
http://www.wikidata.org/entity/Q327334,Santiago Luna,golf,Spain
http://www.wikidata.org/entity/Q348464,Norman Von Nida,golf,Australia
http://www.wikidata.org/entity/Q335312,Todd Woodbridge,golf,Australia
http://www.wikidata.org/entity/Q353226,Karsten Solheim,golf,United States
http://www.wikidata.org/entity/Q440066,Sergio García Fernández,golf,Spain
http://www.wikidata.org/entity/Q369731,Murle Breer,golf,United States
http://www.wikidata.org/entity/Q440171,Ernie Els,golf,South Africa
http://www.wikidata.org/entity/Q328039,Miguel Ángel Martín,golf,Spain
http://www.wikidata.org/entity/Q328059,Ben Crane,golf,United States
http://www.wikidata.org/entity/Q327555,Adrien Mörk,golf,France
http://www.wikidata.org/entity/Q437526,Bobby Jones,golf,United States
http://www.wikidata.org/entity/Q327606,John Bickerton,golf,United Kingdom
http://www.wikidata.org/entity/Q327581,Peter Oosterhuis,golf,United Kingdom
http://www.wikidata.org/entity/Q327589,Grégory Havret,golf,France
http://www.wikidata.org/entity/Q436423,Johnny Miller,golf,United States
http://www.wikidata.org/entity/Q327800,Ignacio Garrido,golf,Spain
http://www.wikidata.org/entity/Q327792,Kenneth Ferrie,golf,United Kingdom
http://www.wikidata.org/entity/Q327813,Tim Herron,golf,United States
http://www.wikidata.org/entity/Q327881,Peter Gustafsson,golf,Sweden
http://www.wikidata.org/entity/Q372432,Orville Moody,golf,United States
http://www.wikidata.org/entity/Q369945,Paul McGinley,golf,Ireland
http://www.wikidata.org/entity/Q336274,Rachael Heyhoe Flint,golf,United Kingdom
http://www.wikidata.org/entity/Q450155,Mianne Bagger,golf,Australia
http://www.wikidata.org/entity/Q328068,Loren Roberts,golf,United States
http://www.wikidata.org/entity/Q331282,Tadd Fujikawa,golf,United States
http://www.wikidata.org/entity/Q328078,Marc Warren,golf,United Kingdom
http://www.wikidata.org/entity/Q293061,Mary Kendall Browne,golf,United States
http://www.wikidata.org/entity/Q328006,John Cook,golf,United States
http://www.wikidata.org/entity/Q383060,Jonathan Kaye,golf,United States
http://www.wikidata.org/entity/Q368467,Pablo Larrazábal,golf,Spain
http://www.wikidata.org/entity/Q368539,Sven Tumba,golf,Sweden
http://www.wikidata.org/entity/Q442041,Christian Cévaër,golf,France
http://www.wikidata.org/entity/Q350869,Adam Scott,golf,Australia
http://www.wikidata.org/entity/Q434249,Maria Verchenova,golf,Russia
http://www.wikidata.org/entity/Q328364,Hur Suk-ho,golf,South Korea
http://www.wikidata.org/entity/Q349716,Willie Anderson,golf,United Kingdom of Great Britain and Ireland
http://www.wikidata.org/entity/Q465145,Trevor Immelman,golf,South Africa
http://www.wikidata.org/entity/Q328486,Rod Pampling,golf,United States
http://www.wikidata.org/entity/Q328486,Rod Pampling,golf,Australia
http://www.wikidata.org/entity/Q324005,David Leadbetter,golf,United Kingdom
http://www.wikidata.org/entity/Q328585,Ryuji Imada,golf,Japan
http://www.wikidata.org/entity/Q394840,Agnete Friis,golf,Kingdom of Denmark
http://www.wikidata.org/entity/Q458102,Liselotte Neumann,golf,Sweden
http://www.wikidata.org/entity/Q389438,John Daly,golf,United States
http://www.wikidata.org/entity/Q338365,Helen Alfredsson,golf,Sweden
http://www.wikidata.org/entity/Q380613,Rory McIlroy,golf,United Kingdom
