athlete,athleteLabel,sportLabel,countryLabel
http://www.wikidata.org/entity/Q4730645,Allan Greenshields,Australian rules football,Australia
http://www.wikidata.org/entity/Q4730696,"Allan Hird, Sr.",Australian rules football,Australia
http://www.wikidata.org/entity/Q4730725,Allan Jeans,Australian rules football,Australia
http://www.wikidata.org/entity/Q4730833,Allan McCracken,Australian rules football,Australia
http://www.wikidata.org/entity/Q4730952,Allan Ruthven,Australian rules football,Australia
http://www.wikidata.org/entity/Q4731513,Allen Aylett,Australian rules football,Australia
http://www.wikidata.org/entity/Q4731718,Allen Jakovich,Australian rules football,Australia
http://www.wikidata.org/entity/Q4662117,Aaron James,Australian rules football,Australia
http://www.wikidata.org/entity/Q4678825,Adam Campbell,Australian rules football,New Zealand
http://www.wikidata.org/entity/Q4741846,Ambrose Palmer,Australian rules football,Australia
http://www.wikidata.org/entity/Q4704377,Al Mantello,Australian rules football,Italy
http://www.wikidata.org/entity/Q4706413,Alan Cordner,Australian rules football,Australia
http://www.wikidata.org/entity/Q4706434,Alan Cransberg,Australian rules football,Australia
http://www.wikidata.org/entity/Q4706515,Alan Didak,Australian rules football,Australia
http://www.wikidata.org/entity/Q4706591,Alan Ezard,Australian rules football,Australia
http://www.wikidata.org/entity/Q4662067,Aaron Hall,Australian rules football,Australia
http://www.wikidata.org/entity/Q4738510,Alwyn Davey,Australian rules football,Australia
http://www.wikidata.org/entity/Q4707426,Alan Noonan,Australian rules football,Australia
http://www.wikidata.org/entity/Q4707456,Alan Olle,Australian rules football,Australia
http://www.wikidata.org/entity/Q4707508,Alan Pearsall,Australian rules football,Australia
http://www.wikidata.org/entity/Q4707512,Alan Pentland,Australian rules football,Australia
http://www.wikidata.org/entity/Q4707552,Alan Preen,Australian rules football,Australia
http://www.wikidata.org/entity/Q4707560,Alan Quartermaine,Australian rules football,Australia
http://www.wikidata.org/entity/Q4707576,Alan Rait,Australian rules football,Australia
http://www.wikidata.org/entity/Q4707858,Alan Stretton,Australian rules football,Australia
http://www.wikidata.org/entity/Q4707896,Alan Thaw,Australian rules football,Australia
http://www.wikidata.org/entity/Q4707927,Alan Toovey,Australian rules football,Australia
http://www.wikidata.org/entity/Q4708160,Alana Lowes,Australian rules football,Australia
http://www.wikidata.org/entity/Q4708694,Alastair Clarkson,Australian rules football,Australia
http://www.wikidata.org/entity/Q4708736,Alastair Lynch,Australian rules football,Australia
http://www.wikidata.org/entity/Q4717339,Alex Lang,Australian rules football,Australia
http://www.wikidata.org/entity/Q4706440,Alan Crawford,Australian rules football,Australia
http://www.wikidata.org/entity/Q4755103,Andrea Gilmore,Australian rules football,Australia
http://www.wikidata.org/entity/Q4756345,Andrew Bews,Australian rules football,Australia
http://www.wikidata.org/entity/Q4678878,Adam Cockshell,Australian rules football,Australia
http://www.wikidata.org/entity/Q4678893,Adam Cooney,Australian rules football,Australia
http://www.wikidata.org/entity/Q4679130,Adam Goodes,Australian rules football,Australia
http://www.wikidata.org/entity/Q4679475,Adam McPhee,Australian rules football,Australia
http://www.wikidata.org/entity/Q4707626,Alan Richardson,Australian rules football,Australia
http://www.wikidata.org/entity/Q4710174,Albert Pannam,Australian rules football,Australia
http://www.wikidata.org/entity/Q4710344,Albert Gourlay,Australian rules football,Australia
http://www.wikidata.org/entity/Q4710434,Albert Hartkopf,Australian rules football,Australia
http://www.wikidata.org/entity/Q4661989,Aaron Edwards,Australian rules football,Samoa
http://www.wikidata.org/entity/Q4711327,Albert Thurgood,Australian rules football,Australia
http://www.wikidata.org/entity/Q4684843,Adrian Barich,Australian rules football,Australia
http://www.wikidata.org/entity/Q4684915,Adrian Campbell,Australian rules football,Australia
http://www.wikidata.org/entity/Q4684975,Adrian Deluca,Australian rules football,Australia
http://www.wikidata.org/entity/Q4685006,Adrian Farmer,Australian rules football,Australia
http://www.wikidata.org/entity/Q4712869,Alby Green,Australian rules football,Australia
http://www.wikidata.org/entity/Q4712883,Alby Pannam,Australian rules football,Australia
