athlete,athleteLabel,sportLabel,countryLabel
http://www.wikidata.org/entity/Q1943,Abou Diaby,association football,France
http://www.wikidata.org/entity/Q1944,Jérémy Toulalan,association football,France
http://www.wikidata.org/entity/Q1883,Sabri Lamouchi,association football,Tunisia
http://www.wikidata.org/entity/Q1943,Abou Diaby,association football,Ivory Coast
http://www.wikidata.org/entity/Q4599,Raúl Albiol,association football,Spain
http://www.wikidata.org/entity/Q1926,Alou Diarra,association football,France
http://www.wikidata.org/entity/Q4457,Franz Beckenbauer,association football,Germany
http://www.wikidata.org/entity/Q4261,Michel Platini,association football,France
http://www.wikidata.org/entity/Q4457,Franz Beckenbauer,association football,West Germany
http://www.wikidata.org/entity/Q1885,Jürgen Locadia,association football,Kingdom of the Netherlands
http://www.wikidata.org/entity/Q4462,Joachim Löw,association football,Germany
http://www.wikidata.org/entity/Q1907,Hugo Lloris,association football,France
http://www.wikidata.org/entity/Q1908,Mathieu Debuchy,association football,France
http://www.wikidata.org/entity/Q1928,Hatem Ben Arfa,association football,France
http://www.wikidata.org/entity/Q1928,Hatem Ben Arfa,association football,Tunisia
http://www.wikidata.org/entity/Q1909,Adil Rami,association football,France
http://www.wikidata.org/entity/Q1909,Adil Rami,association football,Morocco
http://www.wikidata.org/entity/Q4573,Sean Connery,association football,United Kingdom
http://www.wikidata.org/entity/Q1835,Zinédine Zidane,association football,France
http://www.wikidata.org/entity/Q1929,Gaël Clichy,association football,France
http://www.wikidata.org/entity/Q1911,Olivier Giroud,association football,France
http://www.wikidata.org/entity/Q1910,Yohan Cabaye,association football,France
http://www.wikidata.org/entity/Q3606,Emil Rilke,association football,Czech Republic
http://www.wikidata.org/entity/Q1912,Karim Benzema,association football,France
http://www.wikidata.org/entity/Q1913,Florent Malouda,association football,France
http://www.wikidata.org/entity/Q379,František Plánička,association football,Czech Republic
http://www.wikidata.org/entity/Q1839,Laurent Blanc,association football,France
http://www.wikidata.org/entity/Q379,František Plánička,association football,Czechoslovakia
http://www.wikidata.org/entity/Q1931,Cédric Carrasso,association football,France
http://www.wikidata.org/entity/Q1915,Laurent Koscielny,association football,France
http://www.wikidata.org/entity/Q354,Piet Kraak,association football,Kingdom of the Netherlands
http://www.wikidata.org/entity/Q624,Alessandro Del Piero,association football,Italy
http://www.wikidata.org/entity/Q4124,Franciszek Smuda,association football,Poland
http://www.wikidata.org/entity/Q1916,Patrice Evra,association football,France
http://www.wikidata.org/entity/Q1916,Patrice Evra,association football,Senegal
http://www.wikidata.org/entity/Q1936,Djibril Cissé,association football,France
http://www.wikidata.org/entity/Q1934,Sidney Govou,association football,France
http://www.wikidata.org/entity/Q1936,Djibril Cissé,association football,Ivory Coast
http://www.wikidata.org/entity/Q1918,Franck Ribéry,association football,France
http://www.wikidata.org/entity/Q1917,Philippe Mexès,association football,France
http://www.wikidata.org/entity/Q1894,Memphis Depay,association football,Ghana
http://www.wikidata.org/entity/Q1894,Memphis Depay,association football,Kingdom of the Netherlands
http://www.wikidata.org/entity/Q1919,Mathieu Valbuena,association football,France
http://www.wikidata.org/entity/Q1927,Marvin Martin,association football,France
http://www.wikidata.org/entity/Q4237,Fleury Di Nallo,association football,France
http://www.wikidata.org/entity/Q1935,Eric Abidal,association football,France
http://www.wikidata.org/entity/Q1920,Samir Nasri,association football,France
http://www.wikidata.org/entity/Q1920,Samir Nasri,association football,Algeria
http://www.wikidata.org/entity/Q615,Lionel Messi,association football,Spain
http://www.wikidata.org/entity/Q615,Lionel Messi,association football,Italy
