athlete,athleteLabel,sportLabel,countryLabel
http://www.wikidata.org/entity/Q1737336,Kawasoe Masao,karate,Japan
http://www.wikidata.org/entity/Q1737900,Keigo Abe,karate,Japan
http://www.wikidata.org/entity/Q1524719,Gima Makoto,karate,Empire of Japan
http://www.wikidata.org/entity/Q1742199,Kinjo Hiroshi,karate,Japan
http://www.wikidata.org/entity/Q1390642,Fabián Casas,karate,Argentina
http://www.wikidata.org/entity/Q1908090,Matayoshi Shinpō,karate,Japan
http://www.wikidata.org/entity/Q1908088,Shinko Matayoshi,karate,Japan
http://www.wikidata.org/entity/Q1584213,Masayuki Hisataka,karate,Japan
http://www.wikidata.org/entity/Q1735606,Stein Rønning,karate,Norway
http://www.wikidata.org/entity/Q1738762,Kenji Kurosaki,karate,Japan
http://www.wikidata.org/entity/Q1737900,Keigo Abe,karate,Empire of Japan
http://www.wikidata.org/entity/Q1909096,Higa Peechin,karate,Japan
http://www.wikidata.org/entity/Q1742199,Kinjo Hiroshi,karate,Empire of Japan
http://www.wikidata.org/entity/Q2078703,Peter Trapski,karate,Germany
http://www.wikidata.org/entity/Q1908090,Matayoshi Shinpō,karate,Empire of Japan
http://www.wikidata.org/entity/Q1688449,Sandro Massarotti,karate,Switzerland
http://www.wikidata.org/entity/Q1754853,Enes Erkan,karate,Turkey
http://www.wikidata.org/entity/Q2079584,Robert Wall,karate,United States
http://www.wikidata.org/entity/Q1963468,Shōshin Nagamine,karate,Japan
http://www.wikidata.org/entity/Q2090890,Yuki Kondo,karate,Japan
http://www.wikidata.org/entity/Q1517888,Al Leong,karate,United States
http://www.wikidata.org/entity/Q1717717,Jürgen Seydel,karate,Germany
http://www.wikidata.org/entity/Q2056529,Pat McKay,karate,United Kingdom
http://www.wikidata.org/entity/Q1991362,Peter Smit,karate,Kingdom of the Netherlands
http://www.wikidata.org/entity/Q1557756,Hiroo Mochizuki,karate,Japan
http://www.wikidata.org/entity/Q1728269,Kanei Uechi,karate,Japan
http://www.wikidata.org/entity/Q1963468,Shōshin Nagamine,karate,Empire of Japan
http://www.wikidata.org/entity/Q1729036,Seinosuke Mitsuya,karate,Japan
http://www.wikidata.org/entity/Q1728269,Kanei Uechi,karate,Empire of Japan
http://www.wikidata.org/entity/Q1743684,Kisaki Tomoharu,karate,Japan
http://www.wikidata.org/entity/Q1821145,Lechi Kurbanov,karate,Indonesia
http://www.wikidata.org/entity/Q1484924,Willy Voss,karate,Germany
http://www.wikidata.org/entity/Q1692650,Sascha Schelter,karate,Germany
http://www.wikidata.org/entity/Q2016275,Ogura Tsuneyoshi,karate,Japan
http://www.wikidata.org/entity/Q2072333,Travis Fulton,karate,United States
http://www.wikidata.org/entity/Q2033313,Oshiro Chojo,karate,Japan
http://www.wikidata.org/entity/Q1473967,Fumio Demura,karate,Japan
http://www.wikidata.org/entity/Q1709399,José Manuel Egea,karate,Spain
http://www.wikidata.org/entity/Q1743684,Kisaki Tomoharu,karate,Empire of Japan
http://www.wikidata.org/entity/Q2016275,Ogura Tsuneyoshi,karate,Empire of Japan
http://www.wikidata.org/entity/Q1666264,Jonathan Horne,karate,Germany
http://www.wikidata.org/entity/Q2057797,Patrick McCarthy,karate,Australia
http://www.wikidata.org/entity/Q1473967,Fumio Demura,karate,Empire of Japan
http://www.wikidata.org/entity/Q1496668,Hanskarl Rotzinger,karate,Germany
http://www.wikidata.org/entity/Q1801606,Werner Lind,karate,Germany
http://www.wikidata.org/entity/Q1400279,Luca Valdesi,karate,Italy
http://www.wikidata.org/entity/Q1723018,Kamesuke Higashionna,karate,Japan
http://www.wikidata.org/entity/Q2073061,Yuichiro Nagashima,karate,Japan
http://www.wikidata.org/entity/Q2025214,Tadashi Yamashita,karate,Japan
http://www.wikidata.org/entity/Q1512497,Koichi Sugimura,karate,Japan
