athleteLabel,occupationOrSportLabel,dateOfBirth,dateOfDeath
Q113993919,association football,1964-11-04T00:00:00Z,2013-12-17T00:00:00Z
Q113996974,association football,1928-01-23T00:00:00Z,1988-06-29T00:00:00Z
Q113996979,judo,1979-08-23T00:00:00Z,2024-04-01T00:00:00Z
Q114025538,association football,1928-04-29T00:00:00Z,1975-11-28T00:00:00Z
Q114027455,association football,1928-07-23T00:00:00Z,2023-01-02T00:00:00Z
Q114065947,association football,1898-01-01T00:00:00Z,http://www.wikidata.org/.well-known/genid/f403e2bbbf5926094fc6effd546a1333
Q114081506,association football,1933-12-05T00:00:00Z,2016-04-27T00:00:00Z
Q114565648,association football,1945-01-01T00:00:00Z,2016-11-25T00:00:00Z
Q114733983,association football,1909-01-01T00:00:00Z,1993-10-29T00:00:00Z
Q114799296,ice hockey,1973-07-05T00:00:00Z,2022-03-17T00:00:00Z
Q114853761,karate,1996-06-14T00:00:00Z,2022-04-29T00:00:00Z
Q114957492,wrestling,1944-05-22T00:00:00Z,1987-01-01T00:00:00Z
Q114992950,ice hockey,1952-03-03T00:00:00Z,2022-08-24T00:00:00Z
Q115610557,association football,1952-06-28T00:00:00Z,2015-12-20T00:00:00Z
Q115634296,association football,1955-04-14T00:00:00Z,2015-11-08T00:00:00Z
Q115679862,association football,1917-01-01T00:00:00Z,2006-11-29T00:00:00Z
Q115706641,judo,1928-05-09T00:00:00Z,2004-10-14T00:00:00Z
Q115707112,judo,1944-12-13T00:00:00Z,2018-07-15T00:00:00Z
Q115727074,association football,1926-08-13T00:00:00Z,2001-03-08T00:00:00Z
Q115897954,association football,1930-01-01T00:00:00Z,1993-04-01T00:00:00Z
Q115942165,judo,1963-05-05T00:00:00Z,2022-03-20T00:00:00Z
Q116167623,association football,1955-06-22T00:00:00Z,2011-04-28T00:00:00Z
Q116201126,association football,1922-12-25T00:00:00Z,1982-12-31T00:00:00Z
Q116238260,association football,1920-01-01T00:00:00Z,2003-01-01T00:00:00Z
Q116483132,association football,1935-12-29T00:00:00Z,2023-01-07T00:00:00Z
Q116678618,ice hockey,1958-05-20T00:00:00Z,2021-10-22T00:00:00Z
Q116689170,karate,1981-10-16T00:00:00Z,2023-02-01T00:00:00Z
Q116689652,ice hockey,1953-01-27T00:00:00Z,1995-06-15T00:00:00Z
Q116689985,ice hockey,1951-05-01T00:00:00Z,1990-05-12T00:00:00Z
Q116690807,ice hockey,1957-08-15T00:00:00Z,2013-04-09T00:00:00Z
Q116732140,association football,1948-07-16T00:00:00Z,2016-05-10T00:00:00Z
Q116767420,ice hockey,1955-12-23T00:00:00Z,2000-03-10T00:00:00Z
Q116778976,ice hockey,1936-01-01T00:00:00Z,1973-01-01T00:00:00Z
Q116779283,ice hockey,1938-05-24T00:00:00Z,http://www.wikidata.org/.well-known/genid/5117326ef561fd6e63923777bc3aa0ee
Q116784949,ice hockey,1932-01-01T00:00:00Z,http://www.wikidata.org/.well-known/genid/348dcc9487848c85bfe2eeb138e49fcb
Q116786059,ice hockey,1937-02-07T00:00:00Z,2003-03-23T00:00:00Z
Q116786601,ice hockey,1943-12-08T00:00:00Z,2013-09-21T00:00:00Z
Q116786931,ice hockey,1949-12-05T00:00:00Z,2013-05-22T00:00:00Z
Q116811603,association football,1920-01-01T00:00:00Z,1974-02-06T00:00:00Z
Q116828825,ice hockey,1926-04-14T00:00:00Z,2000-01-01T00:00:00Z
Q116852657,association football,1957-03-26T00:00:00Z,1999-01-01T00:00:00Z
Q116852658,association football,1954-09-15T00:00:00Z,2011-10-09T00:00:00Z
Q116852660,association football,1962-09-16T00:00:00Z,2018-08-16T00:00:00Z
Q116906760,ice hockey,1965-03-30T00:00:00Z,2006-02-23T00:00:00Z
Q116912051,ice hockey,1957-05-20T00:00:00Z,2012-02-09T00:00:00Z
Q116950169,ice hockey,1948-09-04T00:00:00Z,2009-04-02T00:00:00Z
Q116950322,ice hockey,1946-04-13T00:00:00Z,1984-05-11T00:00:00Z
Q116959981,ice hockey,1939-01-01T00:00:00Z,2012-01-01T00:00:00Z
Q116960622,association football,1919-10-28T00:00:00Z,1996-09-24T00:00:00Z
Q116970890,ice hockey,1953-11-03T00:00:00Z,2020-02-19T00:00:00Z
Q116979331,ice hockey,1938-01-01T00:00:00Z,1999-01-01T00:00:00Z
Q116983928,association football,1906-01-01T00:00:00Z,http://www.wikidata.org/.well-known/genid/2130bca1708c91aa3fde573cdccda42d
Q116983981,association football,1915-06-02T00:00:00Z,1945-01-08T00:00:00Z
Q116984049,association football,1920-07-01T00:00:00Z,http://www.wikidata.org/.well-known/genid/3c94337a1ae361f4b201352d3ffc717b
Q116994064,ice hockey,1940-03-22T00:00:00Z,2025-05-21T00:00:00Z
Q116994885,ice hockey,1949-10-13T00:00:00Z,http://www.wikidata.org/.well-known/genid/3109c4d10d352c49c386817e530eb099
Q117006026,ice hockey,1935-08-07T00:00:00Z,2003-05-07T00:00:00Z
Q117035002,ice hockey,1937-04-30T00:00:00Z,1991-01-01T00:00:00Z
Q117058554,ice hockey,1941-02-27T00:00:00Z,1998-02-17T00:00:00Z
Q117066026,ice hockey,1933-04-10T00:00:00Z,2001-01-01T00:00:00Z
Q117066113,ice hockey,1936-06-23T00:00:00Z,2019-05-10T00:00:00Z
Q117069564,ice hockey,1946-05-06T00:00:00Z,http://www.wikidata.org/.well-known/genid/494caff460c8060c182b66e6ca466005
Q117072344,association football,1928-11-19T00:00:00Z,1957-10-12T00:00:00Z
Q117073953,ice hockey,1937-03-22T00:00:00Z,2001-06-20T00:00:00Z
Q117084406,ice hockey,1953-06-03T00:00:00Z,2013-09-17T00:00:00Z
Q117084761,ice hockey,1926-01-01T00:00:00Z,1986-01-01T00:00:00Z
Q117084858,ice hockey,1957-02-22T00:00:00Z,2024-09-15T00:00:00Z
Q117084933,ice hockey,1950-01-16T00:00:00Z,2019-01-04T00:00:00Z
Q117086677,ice hockey,1933-07-06T00:00:00Z,1995-10-09T00:00:00Z
Q117129450,ice hockey,1946-08-13T00:00:00Z,2017-02-12T00:00:00Z
Q117130325,ice hockey,1931-09-28T00:00:00Z,2013-11-21T00:00:00Z
Q117190861,ice hockey,1923-11-28T00:00:00Z,1994-09-05T00:00:00Z
Q117195912,ice hockey,1936-05-06T00:00:00Z,2003-04-29T00:00:00Z
Q117196385,ice hockey,1951-02-16T00:00:00Z,2009-05-15T00:00:00Z
Q117207267,association football,1936-03-28T00:00:00Z,2016-01-19T00:00:00Z
Q117213781,ice hockey,1946-05-19T00:00:00Z,2002-10-10T00:00:00Z
Q117215751,ice hockey,1956-04-03T00:00:00Z,2004-03-26T00:00:00Z
Q117217786,ice hockey,1936-02-26T00:00:00Z,2001-07-04T00:00:00Z
Q117217859,ice hockey,1949-04-20T00:00:00Z,2006-12-26T00:00:00Z
Q117217949,ice hockey,1947-05-15T00:00:00Z,http://www.wikidata.org/.well-known/genid/b8ac2a7f940c5f6d61f7a39d5a334329
Q117220450,ice hockey,1938-09-25T00:00:00Z,1990-01-01T00:00:00Z
Q117230834,ice hockey,1927-01-01T00:00:00Z,http://www.wikidata.org/.well-known/genid/be5d566b0cc726a8867bfdbd651e368f
Q117230834,ice hockey,1930-01-01T00:00:00Z,http://www.wikidata.org/.well-known/genid/be5d566b0cc726a8867bfdbd651e368f
Q117231007,ice hockey,1935-01-07T00:00:00Z,1996-09-05T00:00:00Z
Q117231321,ice hockey,1936-01-01T00:00:00Z,http://www.wikidata.org/.well-known/genid/e6eb3919e301c10c6b414ea917597efb
Q117244919,ice hockey,1941-01-07T00:00:00Z,http://www.wikidata.org/.well-known/genid/d3572c4a4d16710c18a488d71b0a3c62
Q117245470,ice hockey,1967-06-30T00:00:00Z,2021-04-29T00:00:00Z
Q117264622,ice hockey,1965-04-16T00:00:00Z,2014-01-07T00:00:00Z
Q117268957,ice hockey,1942-10-08T00:00:00Z,2003-07-10T00:00:00Z
Q117280369,association football,1943-01-01T00:00:00Z,2021-12-01T00:00:00Z
Q117305810,ice hockey,1952-06-14T00:00:00Z,2000-05-26T00:00:00Z
Q117306547,ice hockey,1934-02-18T00:00:00Z,http://www.wikidata.org/.well-known/genid/fdc7a58db798537e90bd286f0366d701
Q117307226,ice hockey,1934-01-23T00:00:00Z,http://www.wikidata.org/.well-known/genid/fb013c9139808e650ea214632e13dbf3
Q117307502,ice hockey,1947-04-09T00:00:00Z,2018-04-02T00:00:00Z
Q117307502,ice hockey,1947-05-08T00:00:00Z,2018-04-02T00:00:00Z
Q117307725,ice hockey,1924-01-01T00:00:00Z,http://www.wikidata.org/.well-known/genid/8bcb2c97c59dda528c326253c9478a45
Q117307777,ice hockey,1937-03-11T00:00:00Z,1964-10-28T00:00:00Z
Q117309116,ice hockey,1937-07-15T00:00:00Z,http://www.wikidata.org/.well-known/genid/f171cca9f7ab8f4c89377d6e253b0e2c
Q117311494,ice hockey,1937-07-05T00:00:00Z,2010-08-28T00:00:00Z
Q117317482,ice hockey,1926-01-01T00:00:00Z,1989-01-01T00:00:00Z
Q117317482,ice hockey,1926-01-01T00:00:00Z,1990-01-01T00:00:00Z
Q117327912,association football,1951-12-18T00:00:00Z,http://www.wikidata.org/.well-known/genid/278b1ba0d387aeb6c7ae463b8b5f0cbb
Q117456076,association football,1944-11-11T00:00:00Z,2021-03-12T00:00:00Z
Q117466181,wrestling,1962-01-01T00:00:00Z,2021-07-21T00:00:00Z
Q117469090,association football,1937-04-14T00:00:00Z,2008-06-18T00:00:00Z
Q117473462,association football,1971-01-01T00:00:00Z,2017-06-23T00:00:00Z
Q117717804,ice hockey,1938-05-17T00:00:00Z,http://www.wikidata.org/.well-known/genid/ce124fc21ec2c75c09f1de4c62e00ec9
Q117722627,ice hockey,1934-06-23T00:00:00Z,1967-07-27T00:00:00Z
Q117736762,ice hockey,1925-05-06T00:00:00Z,2008-05-11T00:00:00Z
Q117748933,ice hockey,1929-02-25T00:00:00Z,2014-09-07T00:00:00Z
Q117749122,ice hockey,1924-01-01T00:00:00Z,http://www.wikidata.org/.well-known/genid/f33bf4c93460e88fcf6698608d62620f
Q117749984,ice hockey,1923-07-02T00:00:00Z,2010-09-11T00:00:00Z
Q117831066,association football,1931-01-04T00:00:00Z,2011-01-25T00:00:00Z
Q118153842,judo,1951-03-08T00:00:00Z,2012-05-29T00:00:00Z
Q118233875,association football,1931-01-01T00:00:00Z,1980-05-07T00:00:00Z
Q118247346,association football,1936-04-23T00:00:00Z,2012-05-27T00:00:00Z
Q118954871,association football,1913-06-06T00:00:00Z,1956-02-01T00:00:00Z
Q118954958,association football,1928-01-20T00:00:00Z,1990-07-26T00:00:00Z
Q118955297,association football,1934-03-25T00:00:00Z,2014-09-04T00:00:00Z
Q118955312,association football,1919-11-13T00:00:00Z,1979-11-07T00:00:00Z
Q118955322,association football,1918-12-01T00:00:00Z,1999-09-26T00:00:00Z
Q118955338,association football,1908-01-26T00:00:00Z,1994-12-20T00:00:00Z
Q119495861,association football,1938-05-06T00:00:00Z,1989-11-25T00:00:00Z
Q11979151,ice hockey,1937-04-15T00:00:00Z,2022-04-10T00:00:00Z
Q119795198,wrestling,1995-01-01T00:00:00Z,2023-06-20T00:00:00Z
Q119939032,association football,1958-03-02T00:00:00Z,2023-06-24T00:00:00Z
Q120265882,Muay Thai,1984-11-20T00:00:00Z,2015-10-10T00:00:00Z
Q12026938,association football,1936-09-26T00:00:00Z,2020-01-23T00:00:00Z
Q120277187,association football,1912-05-16T00:00:00Z,1985-01-01T00:00:00Z
Q120280108,association football,1956-02-03T00:00:00Z,1989-08-19T00:00:00Z
Q120280270,association football,1895-01-01T00:00:00Z,1938-01-01T00:00:00Z
Q120280325,association football,1898-03-12T00:00:00Z,1937-01-01T00:00:00Z
Q12042420,ice hockey,1922-07-16T00:00:00Z,1995-03-14T00:00:00Z
Q120500970,association football,1986-04-03T00:00:00Z,2023-05-21T00:00:00Z
Q120670695,association football,1944-12-21T00:00:00Z,2004-12-24T00:00:00Z
Q120754411,ice hockey,1960-04-18T00:00:00Z,http://www.wikidata.org/.well-known/genid/a11fe748c1b323591eb31e518497fe09
Q120799144,association football,1944-07-01T00:00:00Z,2023-07-22T00:00:00Z
Q120804147,ice hockey,1961-02-14T00:00:00Z,2004-01-07T00:00:00Z
Q12087759,association football,1935-08-14T00:00:00Z,1979-01-21T00:00:00Z
Q120906347,ice hockey,1960-01-12T00:00:00Z,http://www.wikidata.org/.well-known/genid/46108b5155478d11225116b8e702df3e
Q120969876,association football,1913-01-01T00:00:00Z,http://www.wikidata.org/.well-known/genid/e73470d05342150738cafb1a7177271a
Q120986027,association football,1924-01-01T00:00:00Z,1983-12-01T00:00:00Z
Q121090641,association football,1929-11-15T00:00:00Z,2022-01-24T00:00:00Z
Q121141356,association football,1913-01-01T00:00:00Z,http://www.wikidata.org/.well-known/genid/5e8d2c5469d9e3887bd92852dc2c60b8
Q12114665,association football,1939-02-20T00:00:00Z,2010-09-22T00:00:00Z
Q12114676,ice hockey,1979-07-23T00:00:00Z,2022-01-07T00:00:00Z
