athlete,athleteLabel,sportLabel,countryLabel
http://www.wikidata.org/entity/Q36886,Joffrey Lupul,ice hockey,Canada
http://www.wikidata.org/entity/Q24355,Niclas Burström,ice hockey,Sweden
http://www.wikidata.org/entity/Q32464,Jukka Vilander,ice hockey,Finland
http://www.wikidata.org/entity/Q32467,Risto Dufva,ice hockey,Finland
http://www.wikidata.org/entity/Q26936,Philippe Payot,ice hockey,France
http://www.wikidata.org/entity/Q38680,Ľubomír Kolník,ice hockey,Slovakia
http://www.wikidata.org/entity/Q24074,Maksymilian Więcek,ice hockey,Poland
http://www.wikidata.org/entity/Q26285,Alexei Murygin,ice hockey,Russia
http://www.wikidata.org/entity/Q26286,Vasiliy Koshechkin,ice hockey,Russia
http://www.wikidata.org/entity/Q31725,Jaroslav Janus,ice hockey,Slovakia
http://www.wikidata.org/entity/Q25730,Paul Ranheim,ice hockey,United States
http://www.wikidata.org/entity/Q27535,P. K. Subban,ice hockey,Canada
http://www.wikidata.org/entity/Q27545,Cody Hodgson,ice hockey,Canada
http://www.wikidata.org/entity/Q26282,Mikhail Varnakov,ice hockey,Russia
http://www.wikidata.org/entity/Q25788,Erik Josefsson,ice hockey,Sweden
http://www.wikidata.org/entity/Q27549,Jacob Markström,ice hockey,Sweden
http://www.wikidata.org/entity/Q25808,Jeremias Augustin,ice hockey,Sweden
http://www.wikidata.org/entity/Q25802,Martin Johansson,ice hockey,Sweden
http://www.wikidata.org/entity/Q30783,Sami Vatanen,ice hockey,Finland
http://www.wikidata.org/entity/Q25812,Gustav Hjalmarsson,ice hockey,Sweden
http://www.wikidata.org/entity/Q16826,Sergei Nikolayevich Tereschenko,ice hockey,Russia
http://www.wikidata.org/entity/Q38304,Ēriks Pētersons,ice hockey,Latvia
http://www.wikidata.org/entity/Q3611,Ashton Rome,ice hockey,Canada
http://www.wikidata.org/entity/Q32176,Pavel Zhitkov,ice hockey,Kazakhstan
http://www.wikidata.org/entity/Q33700,Michael Grabner,ice hockey,Austria
http://www.wikidata.org/entity/Q38334,Steven Halko,ice hockey,Canada
http://www.wikidata.org/entity/Q24432,Petteri Wirtanen,ice hockey,Finland
http://www.wikidata.org/entity/Q24430,Fredrik Bremberg,ice hockey,Sweden
http://www.wikidata.org/entity/Q36841,Aleksandrs Kerčs,ice hockey,Latvia
http://www.wikidata.org/entity/Q36841,Aleksandrs Kerčs,ice hockey,Soviet Union
http://www.wikidata.org/entity/Q29782,Alois Hadamczik,ice hockey,Czech Republic
http://www.wikidata.org/entity/Q24048,Yōsuke Kon,ice hockey,Japan
http://www.wikidata.org/entity/Q36925,Dennis Seidenberg,ice hockey,Germany
http://www.wikidata.org/entity/Q24747,Evgeny Biryukov,ice hockey,Russia
http://www.wikidata.org/entity/Q24065,Masato Domeki,ice hockey,Japan
http://www.wikidata.org/entity/Q27076,Charles Lavaivre,ice hockey,France
http://www.wikidata.org/entity/Q33670,Igor Bobkov,ice hockey,Russia
http://www.wikidata.org/entity/Q24072,Bolesław Kolasa,ice hockey,Poland
http://www.wikidata.org/entity/Q24050,Takahito Suzuki,ice hockey,Japan
http://www.wikidata.org/entity/Q36839,Teemu Laine,ice hockey,Finland
http://www.wikidata.org/entity/Q24079,Jan Maciejko,ice hockey,Poland
http://www.wikidata.org/entity/Q24077,Mieczysław Palus,ice hockey,Poland
http://www.wikidata.org/entity/Q24084,Tomasz Jasiński,ice hockey,Poland
http://www.wikidata.org/entity/Q26871,Jean-Joseph Monnard,ice hockey,France
http://www.wikidata.org/entity/Q24755,Mikhail Biryukov,ice hockey,Russia
http://www.wikidata.org/entity/Q24091,Eugeniusz Lewacki,ice hockey,Poland
http://www.wikidata.org/entity/Q24093,Ernest Ziaja,ice hockey,Poland
http://www.wikidata.org/entity/Q24088,Hilary Skarżyński,ice hockey,Poland
http://www.wikidata.org/entity/Q25949,Oscar Fantenberg,ice hockey,Sweden
http://www.wikidata.org/entity/Q24293,M. F. Schurman,ice hockey,Canada
