athlete,athleteLabel,sportLabel,countryLabel
http://www.wikidata.org/entity/Q5268182,Dewey Cooper,Muay Thai,United States
http://www.wikidata.org/entity/Q4408711,Alexander Sarnavskiy,Muay Thai,Russia
http://www.wikidata.org/entity/Q3851800,Mathias Gallo Cassarino,Muay Thai,Italy
http://www.wikidata.org/entity/Q5087784,Chatri Sityodtong,Muay Thai,Thailand
http://www.wikidata.org/entity/Q5087908,Chattapong Pantana-Angkul,Muay Thai,Thailand
http://www.wikidata.org/entity/Q5088664,Chaz Mulkey,Muay Thai,United States
http://www.wikidata.org/entity/Q5415831,Evangelista Santos,Muay Thai,Brazil
http://www.wikidata.org/entity/Q5312857,Duke Roufus,Muay Thai,United States
http://www.wikidata.org/entity/Q4205897,Yodtong Senanan,Muay Thai,Thailand
http://www.wikidata.org/entity/Q4357439,Jomhod Kiatadisak,Muay Thai,Thailand
http://www.wikidata.org/entity/Q4950595,Bovy Sor Udomson,Muay Thai,Thailand
http://www.wikidata.org/entity/Q5314249,Duncan Airlie James,Muay Thai,United Kingdom
http://www.wikidata.org/entity/Q4746658,Amir Zeyada,Muay Thai,Egypt
http://www.wikidata.org/entity/Q4746658,Amir Zeyada,Muay Thai,Kingdom of the Netherlands
http://www.wikidata.org/entity/Q4661421,Alviar Lima,Muay Thai,Cape Verde
http://www.wikidata.org/entity/Q4661421,Alviar Lima,Muay Thai,Kingdom of the Netherlands
http://www.wikidata.org/entity/Q5516486,Gadzhi Navruzov,Muay Thai,Russia
http://www.wikidata.org/entity/Q4522042,Antonina Shevchenko,Muay Thai,Russia
http://www.wikidata.org/entity/Q4717845,Alex Stiebling,Muay Thai,United States
http://www.wikidata.org/entity/Q4524684,Vasily Shish,Muay Thai,Belarus
http://www.wikidata.org/entity/Q4717896,Alex Tobiasson Harris,Muay Thai,Sweden
http://www.wikidata.org/entity/Q4717772,Alex Serdyukov,Muay Thai,Russia
http://www.wikidata.org/entity/Q5231406,David Bielkheden,Muay Thai,Sweden
http://www.wikidata.org/entity/Q4822587,Erhan Deniz,Muay Thai,Turkey
http://www.wikidata.org/entity/Q5067751,Chai Sirisute,Muay Thai,Thailand
http://www.wikidata.org/entity/Q5218680,Daniel Sam,Muay Thai,United Kingdom
http://www.wikidata.org/entity/Q5232810,David Dancrade,Muay Thai,France
http://www.wikidata.org/entity/Q4977282,Bruce Codron,Muay Thai,France
http://www.wikidata.org/entity/Q5321291,Dževad Poturak,Muay Thai,Bosnia and Herzegovina
http://www.wikidata.org/entity/Q5427864,Fabio Siciliani,Muay Thai,Italy
http://www.wikidata.org/entity/Q4664664,Abdallah Mabel,Muay Thai,France
http://www.wikidata.org/entity/Q5325443,Eakpracha Meenayothin,Muay Thai,Thailand
http://www.wikidata.org/entity/Q4777507,Antz Nansen,Muay Thai,New Zealand
http://www.wikidata.org/entity/Q4777440,Antuan Siangboxing,Muay Thai,Thailand
http://www.wikidata.org/entity/Q4905084,Big Ben Chor Praram 6,Muay Thai,Thailand
http://www.wikidata.org/entity/Q5071025,Chandet Sor Prantalay,Muay Thai,Thailand
http://www.wikidata.org/entity/Q3998509,Trevor Smandych,Muay Thai,Canada
http://www.wikidata.org/entity/Q4873857,Baxter Humby,Muay Thai,Canada
http://www.wikidata.org/entity/Q5429241,Fadi Merza,Muay Thai,Austria
http://www.wikidata.org/entity/Q4717675,Alex Reid,Muay Thai,United Kingdom
http://www.wikidata.org/entity/Q4256436,Artem Levin,Muay Thai,Russia
http://www.wikidata.org/entity/Q4924704,Ramazan Ramazanov,Muay Thai,Russia
http://www.wikidata.org/entity/Q4105365,Artem Vakhitov,Muay Thai,Russia
http://www.wikidata.org/entity/Q4831956,Ayşegül Behlivan,Muay Thai,Turkey
http://www.wikidata.org/entity/Q4833186,Azza Attoura,Muay Thai,Syria
http://www.wikidata.org/entity/Q3868709,Mustapha Haida,Muay Thai,Morocco
http://www.wikidata.org/entity/Q3870455,Naruepol Fairtex,Muay Thai,Thailand
http://www.wikidata.org/entity/Q5216935,Daniel Dawson,Muay Thai,Australia
http://www.wikidata.org/entity/Q5486063,Riku Immonen,Muay Thai,Finland
http://www.wikidata.org/entity/Q4175364,Andrey Embalaev,Muay Thai,Ukraine
