athlete,athleteLabel,sportLabel,countryLabel
http://www.wikidata.org/entity/Q1376573,Odette Ntahonvukiye,judo,Burundi
http://www.wikidata.org/entity/Q1390371,Fabiane Hukuda-Strubreiter,judo,Brazil
http://www.wikidata.org/entity/Q1390371,Fabiane Hukuda-Strubreiter,judo,Austria
http://www.wikidata.org/entity/Q1420168,Miryam Roper,judo,Germany
http://www.wikidata.org/entity/Q1120563,Risei Kanō,judo,Empire of Japan
http://www.wikidata.org/entity/Q1420168,Miryam Roper,judo,Panama
http://www.wikidata.org/entity/Q1222027,Dieter Gruschwitz,judo,Germany
http://www.wikidata.org/entity/Q1226454,Künter Rothberg,judo,Estonia
http://www.wikidata.org/entity/Q1307541,Reginald de Windt,judo,Kingdom of the Netherlands
http://www.wikidata.org/entity/Q1391609,Shota Chochishvili,judo,Georgia
http://www.wikidata.org/entity/Q1391263,Shinobu Sekine,judo,Japan
http://www.wikidata.org/entity/Q1256158,Takao Kawaguchi,judo,Japan
http://www.wikidata.org/entity/Q1391609,Shota Chochishvili,judo,Soviet Union
http://www.wikidata.org/entity/Q1392219,Fiderd Vis,judo,Kingdom of the Netherlands
http://www.wikidata.org/entity/Q1378867,Allen Coage,judo,United States
http://www.wikidata.org/entity/Q1379483,Sergei Klischin,judo,Austria
http://www.wikidata.org/entity/Q1379483,Sergei Klischin,judo,Russia
http://www.wikidata.org/entity/Q1379483,Sergei Klischin,judo,Soviet Union
http://www.wikidata.org/entity/Q1348089,Toshihiko Koga,judo,Japan
http://www.wikidata.org/entity/Q1391263,Shinobu Sekine,judo,Empire of Japan
http://www.wikidata.org/entity/Q1178656,David Kevkhishvili,judo,Georgia
http://www.wikidata.org/entity/Q1104437,Hedvig Karakas,judo,Hungary
http://www.wikidata.org/entity/Q1394493,Robert Van de Walle,judo,Belgium
http://www.wikidata.org/entity/Q1381344,Tomisaburō Wakayama,judo,Japan
http://www.wikidata.org/entity/Q1188954,Isao Okano,judo,Japan
http://www.wikidata.org/entity/Q1188997,Gegard Mousasi,judo,Kingdom of the Netherlands
http://www.wikidata.org/entity/Q1029963,János Gyáni,judo,Hungary
http://www.wikidata.org/entity/Q1391287,Toyokazu Nomura,judo,Japan
http://www.wikidata.org/entity/Q1246290,Mariela Spacek,judo,Croatia
http://www.wikidata.org/entity/Q1246290,Mariela Spacek,judo,Austria
http://www.wikidata.org/entity/Q1223427,Dietmar Hötger,judo,Germany
http://www.wikidata.org/entity/Q1223427,Dietmar Hötger,judo,German Democratic Republic
http://www.wikidata.org/entity/Q1381344,Tomisaburō Wakayama,judo,Empire of Japan
http://www.wikidata.org/entity/Q1366838,Kenjito Uematsito,judo,Spain
http://www.wikidata.org/entity/Q1351395,Eric Krieger,judo,Austria
http://www.wikidata.org/entity/Q1396752,Nestor Khergiani,judo,Georgia
http://www.wikidata.org/entity/Q1348893,Ihar Makarau,judo,Belarus
http://www.wikidata.org/entity/Q1244076,Suren Nalbandyan,judo,Soviet Union
http://www.wikidata.org/entity/Q1356631,João Pina,judo,Portugal
http://www.wikidata.org/entity/Q1349101,Kosei Inoue,judo,Japan
http://www.wikidata.org/entity/Q1080953,Christian Lugar,judo,Austria
http://www.wikidata.org/entity/Q1384349,Ricardo Blas,judo,United States
http://www.wikidata.org/entity/Q1090721,Ylenia Scapin,judo,Italy
http://www.wikidata.org/entity/Q1085908,Christoph Stangl,judo,Austria
http://www.wikidata.org/entity/Q1357457,Ramona Brussig,judo,Germany
http://www.wikidata.org/entity/Q1321996,Kye Sun-hui,judo,North Korea
http://www.wikidata.org/entity/Q1357457,Ramona Brussig,judo,German Democratic Republic
http://www.wikidata.org/entity/Q1284231,Nina Koivumäki,judo,Finland
http://www.wikidata.org/entity/Q1335481,Henry Plée,judo,France
http://www.wikidata.org/entity/Q1241385,Kaori Matsumoto,judo,Japan
