athlete,athleteLabel,sportLabel,countryLabel
http://www.wikidata.org/entity/Q348104,Lars-Erik Skiöld,wrestling,Sweden
http://www.wikidata.org/entity/Q447645,Launceston Elliot,wrestling,United Kingdom
http://www.wikidata.org/entity/Q432457,Christine Nordhagen,wrestling,Canada
http://www.wikidata.org/entity/Q63257,Frank Kugler,wrestling,United States
http://www.wikidata.org/entity/Q63257,Frank Kugler,wrestling,Germany
http://www.wikidata.org/entity/Q493718,Sverre Farstad,wrestling,Norway
http://www.wikidata.org/entity/Q256421,Carol Huynh,wrestling,Canada
http://www.wikidata.org/entity/Q327329,Jack van Bebber,wrestling,United States
http://www.wikidata.org/entity/Q503151,Artur Taymazov,wrestling,Russia
http://www.wikidata.org/entity/Q503151,Artur Taymazov,wrestling,Uzbekistan
http://www.wikidata.org/entity/Q330467,Robert Pearce,wrestling,United States
http://www.wikidata.org/entity/Q614630,Michael Chandler,wrestling,United States
http://www.wikidata.org/entity/Q515799,Andrzej Wroński,wrestling,Poland
http://www.wikidata.org/entity/Q26779,Anatoly Beloglazov,wrestling,Russia
http://www.wikidata.org/entity/Q26779,Anatoly Beloglazov,wrestling,Soviet Union
http://www.wikidata.org/entity/Q363056,Adolf Kurz,wrestling,Germany
http://www.wikidata.org/entity/Q187247,Alexander Karelin,wrestling,Russia
http://www.wikidata.org/entity/Q558630,Toghrul Asgarov,wrestling,Azerbaijan
http://www.wikidata.org/entity/Q44699,Fit Finlay,wrestling,United Kingdom
http://www.wikidata.org/entity/Q337260,Lino Ventura,wrestling,France
http://www.wikidata.org/entity/Q337260,Lino Ventura,wrestling,Italy
http://www.wikidata.org/entity/Q345141,Edvin Vesterby,wrestling,Sweden
http://www.wikidata.org/entity/Q345141,Edvin Vesterby,wrestling,Estonia
http://www.wikidata.org/entity/Q444940,Magomed Ibragimov,wrestling,Russia
http://www.wikidata.org/entity/Q444940,Magomed Ibragimov,wrestling,Uzbekistan
http://www.wikidata.org/entity/Q337260,Lino Ventura,wrestling,Kingdom of Italy
http://www.wikidata.org/entity/Q503829,Andy Borodow,wrestling,Canada
http://www.wikidata.org/entity/Q351123,Con O'Kelly,wrestling,United Kingdom
http://www.wikidata.org/entity/Q351123,Con O'Kelly,wrestling,Ireland
http://www.wikidata.org/entity/Q231041,Layla El,wrestling,United Kingdom
http://www.wikidata.org/entity/Q487298,Yang Jung-Mo,wrestling,South Korea
http://www.wikidata.org/entity/Q231041,Layla El,wrestling,Morocco
http://www.wikidata.org/entity/Q314920,Mason Ryan,wrestling,United Kingdom
http://www.wikidata.org/entity/Q258509,Chiharu Icho,wrestling,Japan
http://www.wikidata.org/entity/Q101150,Anita Schätzle,wrestling,Germany
http://www.wikidata.org/entity/Q329228,Daniel Robin,wrestling,France
http://www.wikidata.org/entity/Q351123,Con O'Kelly,wrestling,United Kingdom of Great Britain and Ireland
http://www.wikidata.org/entity/Q46782,Stanley Bacon,wrestling,United Kingdom
http://www.wikidata.org/entity/Q46782,Stanley Bacon,wrestling,United Kingdom of Great Britain and Ireland
http://www.wikidata.org/entity/Q186215,Jim Jordan,wrestling,United States
http://www.wikidata.org/entity/Q203269,Wade Barrett,wrestling,United Kingdom
http://www.wikidata.org/entity/Q465886,Khetag Gazyumov,wrestling,Russia
http://www.wikidata.org/entity/Q465886,Khetag Gazyumov,wrestling,Azerbaijan
http://www.wikidata.org/entity/Q299570,Shelton Benjamin,wrestling,United States
http://www.wikidata.org/entity/Q229689,Maryse Mizanin,wrestling,United States
http://www.wikidata.org/entity/Q229689,Maryse Mizanin,wrestling,Canada
http://www.wikidata.org/entity/Q375829,Davor Štefanek,wrestling,Serbia
http://www.wikidata.org/entity/Q453182,Daniel Igali,wrestling,Canada
http://www.wikidata.org/entity/Q453182,Daniel Igali,wrestling,Nigeria
http://www.wikidata.org/entity/Q233460,Kaori Icho,wrestling,Japan
