athlete,athleteLabel,sportLabel,countryLabel
http://www.wikidata.org/entity/Q25048,Christiane Pilz,competitive swimming,Germany
http://www.wikidata.org/entity/Q25048,Christiane Pilz,competitive swimming,German Democratic Republic
http://www.wikidata.org/entity/Q75584,Petra Dallmann,competitive swimming,Germany
http://www.wikidata.org/entity/Q61534,Thomas Lurz,competitive swimming,Germany
http://www.wikidata.org/entity/Q5679,Lord Byron,competitive swimming,Kingdom of Great Britain
http://www.wikidata.org/entity/Q70931,Lisa Vitting,competitive swimming,Germany
http://www.wikidata.org/entity/Q59920,Natalia Molchanova,competitive swimming,Russia
http://www.wikidata.org/entity/Q65726,Antje Buschschulte,competitive swimming,Germany
http://www.wikidata.org/entity/Q59920,Natalia Molchanova,competitive swimming,Soviet Union
http://www.wikidata.org/entity/Q17030,Toivo Reingoldt,competitive swimming,Finland
http://www.wikidata.org/entity/Q63346,Hermann Scheer,competitive swimming,Germany
http://www.wikidata.org/entity/Q75595,Madeleine Scerri,competitive swimming,Australia
http://www.wikidata.org/entity/Q24549,Ursel Brunner,competitive swimming,Germany
http://www.wikidata.org/entity/Q75595,Madeleine Scerri,competitive swimming,Malta
http://www.wikidata.org/entity/Q78669,Otto Scheff,competitive swimming,Austria
http://www.wikidata.org/entity/Q70920,Angela Maurer,competitive swimming,Germany
http://www.wikidata.org/entity/Q84578,Jana Henke,competitive swimming,Germany
http://www.wikidata.org/entity/Q70207,Annika Mehlhorn,competitive swimming,Germany
http://www.wikidata.org/entity/Q70198,Jenny Mensing,competitive swimming,Germany
http://www.wikidata.org/entity/Q71736,Max Amann,competitive swimming,Germany
http://www.wikidata.org/entity/Q43385,Oliver Lampe,competitive swimming,Germany
http://www.wikidata.org/entity/Q70242,Jens Kruppa,competitive swimming,Germany
http://www.wikidata.org/entity/Q64896,Hilde Schrader,competitive swimming,Germany
http://www.wikidata.org/entity/Q73181,Johann Blank,competitive swimming,Germany
http://www.wikidata.org/entity/Q57404,Michael Gross,competitive swimming,Germany
http://www.wikidata.org/entity/Q57404,Michael Gross,competitive swimming,West Germany
http://www.wikidata.org/entity/Q75493,Janne Schäfer,competitive swimming,Germany
http://www.wikidata.org/entity/Q64928,Mark Warnecke,competitive swimming,Germany
http://www.wikidata.org/entity/Q75144,Cathleen Rund,competitive swimming,Germany
http://www.wikidata.org/entity/Q69283,Silke Lippok,competitive swimming,Germany
http://www.wikidata.org/entity/Q71167,Marco di Carli,competitive swimming,Germany
http://www.wikidata.org/entity/Q71165,Markus Deibler,competitive swimming,Germany
http://www.wikidata.org/entity/Q64936,Thomas Rupprath,competitive swimming,Germany
http://www.wikidata.org/entity/Q39562,Michael Phelps,competitive swimming,United States
http://www.wikidata.org/entity/Q57273,Britta Steffen,competitive swimming,Germany
http://www.wikidata.org/entity/Q57273,Britta Steffen,competitive swimming,German Democratic Republic
http://www.wikidata.org/entity/Q67121,Annika Liebs,competitive swimming,Germany
http://www.wikidata.org/entity/Q67119,Daniela Schreiber,competitive swimming,Germany
http://www.wikidata.org/entity/Q60922,Jan Frodeno,competitive swimming,Germany
http://www.wikidata.org/entity/Q81179,"Lilian, Princess of Réthy",competitive swimming,Belgium
http://www.wikidata.org/entity/Q66044,Gisela Arendt,competitive swimming,Germany
http://www.wikidata.org/entity/Q75414,Gerhard Hetz,competitive swimming,Germany
http://www.wikidata.org/entity/Q75414,Gerhard Hetz,competitive swimming,West Germany
http://www.wikidata.org/entity/Q75730,Heiko Schwartz,competitive swimming,Germany
http://www.wikidata.org/entity/Q85082,Vera Lischka,competitive swimming,Austria
http://www.wikidata.org/entity/Q66659,Kurt Behrens,competitive swimming,Germany
http://www.wikidata.org/entity/Q44538,Anahit Barseghyan,competitive swimming,Armenia
http://www.wikidata.org/entity/Q26174,Kenneth To,competitive swimming,Australia
http://www.wikidata.org/entity/Q80640,Radosław Kawęcki,competitive swimming,Poland
http://www.wikidata.org/entity/Q65229,Daniela Samulski,competitive swimming,Germany
