athlete,athleteLabel,sportLabel,countryLabel
http://www.wikidata.org/entity/Q182512,Rasmus Bonde,badminton,Kingdom of Denmark
http://www.wikidata.org/entity/Q186189,Sayaka Takahashi,badminton,Japan
http://www.wikidata.org/entity/Q197148,Zhang Ailing,badminton,People's Republic of China
http://www.wikidata.org/entity/Q164622,Gail Emms,badminton,United Kingdom
http://www.wikidata.org/entity/Q194654,Dirk Stikker,badminton,Kingdom of the Netherlands
http://www.wikidata.org/entity/Q175307,Kamilla Rytter Juhl,badminton,Kingdom of Denmark
http://www.wikidata.org/entity/Q186736,Chavalert Chumkum,badminton,Thailand
http://www.wikidata.org/entity/Q197225,Zhang Jun,badminton,People's Republic of China
http://www.wikidata.org/entity/Q169022,Zdeněk Musil,badminton,Czech Republic
http://www.wikidata.org/entity/Q169022,Zdeněk Musil,badminton,Czechoslovakia
http://www.wikidata.org/entity/Q197261,Zhang Nan,badminton,People's Republic of China
http://www.wikidata.org/entity/Q198016,Zhou Wenlong,badminton,People's Republic of China
http://www.wikidata.org/entity/Q198116,Zhu Jingjing,badminton,People's Republic of China
http://www.wikidata.org/entity/Q201455,Derek Wong,badminton,Singapore
http://www.wikidata.org/entity/Q177249,Tan Joe Hok,badminton,Indonesia
http://www.wikidata.org/entity/Q198101,Zhu Feng,badminton,People's Republic of China
http://www.wikidata.org/entity/Q204655,Billy Gilliland,badminton,United Kingdom
http://www.wikidata.org/entity/Q204596,Rupesh Kumar,badminton,India
http://www.wikidata.org/entity/Q197156,Beiwen Zhang,badminton,United States
http://www.wikidata.org/entity/Q197156,Beiwen Zhang,badminton,Singapore
http://www.wikidata.org/entity/Q185513,Fran Kurniawan,badminton,Indonesia
http://www.wikidata.org/entity/Q175634,Febby Angguni,badminton,Indonesia
http://www.wikidata.org/entity/Q185282,Mohammad Ahsan,badminton,Indonesia
http://www.wikidata.org/entity/Q197214,Zhang Jin,badminton,People's Republic of China
http://www.wikidata.org/entity/Q197434,Zhao Jianhua,badminton,Singapore
http://www.wikidata.org/entity/Q167038,Marlene Thomsen,badminton,Kingdom of Denmark
http://www.wikidata.org/entity/Q204628,Chan Chi Choi,badminton,People's Republic of China
http://www.wikidata.org/entity/Q197319,Zhang Yi,badminton,People's Republic of China
http://www.wikidata.org/entity/Q197156,Beiwen Zhang,badminton,People's Republic of China
http://www.wikidata.org/entity/Q197209,Zhang Jiewen,badminton,People's Republic of China
http://www.wikidata.org/entity/Q197219,Zhang Jinkang,badminton,People's Republic of China
http://www.wikidata.org/entity/Q187415,Zelin Resiana,badminton,Indonesia
http://www.wikidata.org/entity/Q165304,Jyri Aalto,badminton,Finland
http://www.wikidata.org/entity/Q197642,Łukasz Moreń,badminton,Poland
http://www.wikidata.org/entity/Q197986,Zhou Lei,badminton,People's Republic of China
http://www.wikidata.org/entity/Q197270,Zhang Qingwu,badminton,People's Republic of China
http://www.wikidata.org/entity/Q197304,Zhang Xinguang,badminton,People's Republic of China
http://www.wikidata.org/entity/Q202753,Alesia Zaitsava,badminton,Belarus
http://www.wikidata.org/entity/Q197434,Zhao Jianhua,badminton,People's Republic of China
http://www.wikidata.org/entity/Q197459,Zhao Tingting,badminton,People's Republic of China
http://www.wikidata.org/entity/Q197475,Zhao Yunlei,badminton,People's Republic of China
http://www.wikidata.org/entity/Q197887,Wojciech Szkudlarczyk,badminton,Poland
http://www.wikidata.org/entity/Q174430,Svend Pri,badminton,Kingdom of Denmark
http://www.wikidata.org/entity/Q195766,Bellaetrix Manuputty,badminton,Indonesia
http://www.wikidata.org/entity/Q197599,Zheng Bo,badminton,People's Republic of China
http://www.wikidata.org/entity/Q178078,Kyle Hunter,badminton,Canada
http://www.wikidata.org/entity/Q197266,Zhang Qiang,badminton,People's Republic of China
http://www.wikidata.org/entity/Q189518,Zeng Yaqiong,badminton,People's Republic of China
http://www.wikidata.org/entity/Q197653,Zheng Yumin,badminton,People's Republic of China
http://www.wikidata.org/entity/Q197814,Zhong Qianxin,badminton,People's Republic of China
