athlete,athleteLabel,sportLabel,countryLabel
http://www.wikidata.org/entity/Q566181,Anneliese Ratius,table tennis,Germany
http://www.wikidata.org/entity/Q566293,Annemarie Hähnsch,table tennis,Germany
http://www.wikidata.org/entity/Q610790,Nobuhiko Hasegawa,table tennis,Japan
http://www.wikidata.org/entity/Q562523,Lee Chul-seung,table tennis,South Korea
http://www.wikidata.org/entity/Q576742,Kalinikos Kreanga,table tennis,Greece
http://www.wikidata.org/entity/Q725703,Peter Karlsson,table tennis,Sweden
http://www.wikidata.org/entity/Q566395,Annemie Mann,table tennis,Germany
http://www.wikidata.org/entity/Q685215,Robert Gardos,table tennis,Austria
http://www.wikidata.org/entity/Q566573,Annette Greisinger,table tennis,Germany
http://www.wikidata.org/entity/Q685908,Ilija Lupulesku,table tennis,Serbia
http://www.wikidata.org/entity/Q554111,Gao Ning,table tennis,Singapore
http://www.wikidata.org/entity/Q750637,Astrid Krebsbach,table tennis,Germany
http://www.wikidata.org/entity/Q750637,Astrid Krebsbach,table tennis,German Democratic Republic
http://www.wikidata.org/entity/Q701954,Cheung Yuk,table tennis,British Hong Kong
http://www.wikidata.org/entity/Q535312,Geng Lijuan,table tennis,People's Republic of China
http://www.wikidata.org/entity/Q771204,István Kelen,table tennis,Hungary
http://www.wikidata.org/entity/Q566342,Annemarie Schulz,table tennis,Germany
http://www.wikidata.org/entity/Q533923,Wang Xiaoming,table tennis,France
http://www.wikidata.org/entity/Q715823,Chen Longcan,table tennis,People's Republic of China
http://www.wikidata.org/entity/Q536388,Liu Song,table tennis,Argentina
http://www.wikidata.org/entity/Q685908,Ilija Lupulesku,table tennis,Socialist Federal Republic of Yugoslavia
http://www.wikidata.org/entity/Q556779,Anke Heinig,table tennis,Germany
http://www.wikidata.org/entity/Q579551,István Jónyer,table tennis,Hungary
http://www.wikidata.org/entity/Q537661,"Davina Ingrams, 18th Baroness Darcy de Knayth",table tennis,United Kingdom
http://www.wikidata.org/entity/Q556779,Anke Heinig,table tennis,German Democratic Republic
http://www.wikidata.org/entity/Q743308,Kjell Johansson,table tennis,Sweden
http://www.wikidata.org/entity/Q717423,Desmond Douglas,table tennis,United Kingdom
http://www.wikidata.org/entity/Q559105,Michael Maze,table tennis,Kingdom of Denmark
http://www.wikidata.org/entity/Q684500,Lee Jung-woo,table tennis,South Korea
http://www.wikidata.org/entity/Q717537,Chiang Peng-Lung,table tennis,Taiwan
http://www.wikidata.org/entity/Q556829,Anke Olschewski,table tennis,Germany
http://www.wikidata.org/entity/Q597577,Dániel Zwickl,table tennis,Hungary
http://www.wikidata.org/entity/Q559067,Tibor Klampár,table tennis,Hungary
http://www.wikidata.org/entity/Q594472,Anton Stefko,table tennis,Czechoslovakia
http://www.wikidata.org/entity/Q565037,Anne Boileau,table tennis,France
http://www.wikidata.org/entity/Q705179,Chuan Chih-Yuan,table tennis,Taiwan
http://www.wikidata.org/entity/Q693175,Elmira Antonyan,table tennis,Soviet Union
http://www.wikidata.org/entity/Q693175,Elmira Antonyan,table tennis,Armenia
http://www.wikidata.org/entity/Q661628,Maharu Yoshimura,table tennis,Japan
http://www.wikidata.org/entity/Q588435,Anton Breumair,table tennis,Germany
http://www.wikidata.org/entity/Q709037,Mikael Appelgren,table tennis,Sweden
http://www.wikidata.org/entity/Q555173,Liu Guoliang,table tennis,People's Republic of China
http://www.wikidata.org/entity/Q715449,Chen Qi,table tennis,People's Republic of China
http://www.wikidata.org/entity/Q577962,Viktor Barna,table tennis,Hungary
http://www.wikidata.org/entity/Q539641,Jeanny Dom,table tennis,Luxembourg
http://www.wikidata.org/entity/Q643367,Christiane Watel,table tennis,France
http://www.wikidata.org/entity/Q562497,Kang Hee-Chan,table tennis,South Korea
http://www.wikidata.org/entity/Q562510,Kim Ki-taik,table tennis,South Korea
http://www.wikidata.org/entity/Q562477,Yoon Jae-Young,table tennis,South Korea
http://www.wikidata.org/entity/Q549681,Anita Felguth,table tennis,Germany
